date,name,calls,voicemail,call_time,request_type,number_done,pages_sent,time_spent,cds_created,images_clouded,comment
09/24/2022,Noah Rodriguez,242,19,4,Regulatory,19,3625,4,34,63,
06/20/2023,Sophia Kim,15,9,3,Insurance,25,1743,4,27,63,
01/26/2023,Sophia Kim,100,23,3,Insurance,65,1701,5,20,120,
05/13/2022,Liam Patel,59,33,8,Attorney,98,996,3,41,19,
03/11/2022,James McCarty,61,23,5,Patient,71,4575,3,26,119,
07/20/2023,Karen Smith,47,44,6,Regulatory,100,3662,3,32,63,
12/02/2022,Elijah Nguyen,188,10,3,Work comp,42,257,6,39,61,
12/18/2023,Karen Smith,204,52,4,Continuing care,98,3388,1,32,140,
09/20/2022,Liam Patel,14,5,6,Continuing care,97,2448,1,10,80,
06/15/2022,Liam Patel,167,24,1,Patient,37,4876,7,0,42,
03/16/2023,Liam Patel,204,0,6,Law enforcement,20,645,0,5,15,
07/06/2022,Sophia Kim,187,52,3,Continuing care,93,2919,6,20,101,
12/13/2023,James McCarty,8,29,7,Patient,16,2388,8,25,64,
06/20/2023,Karen Smith,20,29,7,Law enforcement,32,1408,3,24,183,
02/10/2023,Ava Singh,59,56,6,Insurance,38,168,6,35,151,
03/02/2022,Sophia Kim,132,67,3,Insurance,6,4395,1,41,52,
08/07/2022,James McCarty,31,71,6,Regulatory,96,3519,1,39,173,
11/28/2022,Sophia Kim,55,38,0,Insurance,57,1022,2,15,63,
09/09/2023,James McCarty,150,49,8,Law enforcement,97,1628,4,14,189,
09/29/2022,Ava Singh,145,23,3,Attorney,29,3451,4,32,58,
03/02/2022,James McCarty,54,17,2,Law enforcement,54,4634,8,22,81,
06/09/2022,James McCarty,95,13,3,Insurance,66,3737,5,28,142,
11/28/2022,Liam Patel,85,66,7,Regulatory,67,1669,3,26,54,
09/13/2022,James McCarty,167,41,8,Work comp,82,2982,7,1,27,
07/23/2023,Sophia Kim,2,39,1,Insurance,1,2763,7,0,43,
12/04/2023,Liam Patel,149,63,4,Work comp,103,4273,5,16,27,
02/22/2022,James McCarty,241,58,3,Work comp,98,318,5,12,134,
06/30/2023,James McCarty,122,74,0,Attorney,95,1091,4,39,39,
09/11/2022,Karen Smith,14,73,8,Work comp,46,2733,8,26,36,
11/06/2022,Sophia Kim,192,51,4,Attorney,50,2429,6,39,56,
12/31/2022,Sophia Kim,122,12,3,Patient,90,3667,6,42,1,
06/18/2022,James McCarty,34,65,7,Work comp,91,2558,6,36,37,
02/19/2023,Liam Patel,157,69,6,Law enforcement,77,3344,1,19,29,
08/14/2022,James McCarty,89,17,6,Continuing care,33,1364,0,5,96,
12/16/2022,Elijah Nguyen,138,15,7,Law enforcement,24,4676,2,34,35,
05/31/2023,Karen Smith,148,45,4,Insurance,73,406,6,34,11,
03/27/2022,Elijah Nguyen,218,11,1,Law enforcement,52,813,1,21,192,
10/29/2023,Sophia Kim,196,61,5,Patient,10,2270,2,7,71,
08/25/2022,Sophia Kim,167,30,7,Law enforcement,95,2588,4,43,13,
01/18/2022,Noah Rodriguez,134,62,0,Patient,94,4388,0,21,88,
04/24/2022,Elijah Nguyen,21,20,4,Work comp,64,4999,3,37,178,
04/11/2022,Ava Singh,142,65,1,Law enforcement,81,394,6,25,187,
09/26/2022,Ava Singh,189,30,8,Patient,22,4181,4,13,124,
01/29/2022,Noah Rodriguez,4,37,1,Attorney,41,3493,0,1,8,
01/28/2023,Elijah Nguyen,186,36,5,Law enforcement,103,3910,2,3,176,
11/29/2022,Ava Singh,101,72,5,Law enforcement,89,2649,2,15,97,
10/12/2023,James McCarty,25,30,5,Regulatory,24,4452,6,0,61,
11/05/2023,Ava Singh,238,29,3,Patient,41,2156,7,43,107,
12/12/2023,Liam Patel,221,21,1,Insurance,15,571,8,31,68,
07/02/2022,Noah Rodriguez,65,14,5,Regulatory,19,3141,3,7,144,
08/20/2023,Sophia Kim,138,5,5,Work comp,15,359,2,21,136,
07/27/2023,Liam Patel,69,58,7,Work comp,63,2878,6,8,40,
09/14/2022,Noah Rodriguez,0,6,8,Attorney,31,2157,6,21,20,
07/26/2022,Karen Smith,70,14,5,Continuing care,1,2542,2,41,190,
03/07/2022,Noah Rodriguez,89,16,2,Regulatory,16,2872,3,8,33,
